lr_path,caption
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20221218.png,sass ss image of an image of a satellite image of an area of land with a small group of trees on a green hill in the middle
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20230122.png,a satellite image of a large area of farmland with fields and trees
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20230226.png,it shows the topography of the land in the west saskatchewan valley as seen from nasa spacecraft
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20230305.png,"a satellite image of a farmland, which is the image of a farmland"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20230310.png,satellite image of a farm
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20230412.png,satellite images can be used to identify land features
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20230417.png,a satellite image of a farm surrounded by grassland and prairie
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20231004.png,image above shows the land of nevada valley
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20231006.png,satellite image of a farm in southern california
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20231011.png,"a satellite view of a farm field showing wheat fields, soybeans, hay fields, wheatfields and wheat"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20231019.png,a satellite image of a field with a lone farm
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20231024.png,"a satellite image shows fields and farm fields, with a hill in the background"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20231026.png,a satellite image of a farm a satellite image of a farm
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20231029.png,it shows a farm and a field in the field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20231031.png,a satellite image shows a small area of land with a lot of crops
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20231105.png,a satellite image of the world as seen from space
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20231120.png,a satellite image of a field of crops in an area of farmland
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20231205.png,a satellite image of the upper left corner of a farm
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20231208.png,it is a satellite image of a farm field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20231210.png,a satellite image of the area around a ranch and crop fields
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20231220.png,a satellite image of a green field with rows of crops
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20210228.png,"if a small town is pictured with several buildings, a city, town, or city is shown below"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20210407.png,aerial view of a city and its suburbs in senegal
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20210419.png,"a satellite image a satellite image of a large area, including a city, countryside, and mountains"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20210517.png,the satellite image shows a view of the earth from a distant spacecraft
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20210527.png,"it shows a large area with buildings, trees and a small area of water"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20210623.png,satellite image of a city from the olympics
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20210701.png,"the image shows a green field with a fenced building in the distance, and a savannah near the middle"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20211006.png,"as shown in the image above, a saskatchewan city is visible in the middle of the image"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20211011.png,the area of the satellite image is an area of land with an image of the city and surrounding area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20211014.png,"it's a satellite image of a town or city, with an area surrounded by hills and farmland"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20211016.png,"a satellite image of the city of san antonio, mexico"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20211029.png,"in this example, the satellite image shows a land area that is surrounded by a city and a village"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20211031.png,the image shows the city of san antonio in a state called texas
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20211105.png,a satellite image of a large farm with fields and trees
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20211108.png,"a satellite image of the earth's surface and a city, a city, a city, and a city"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20211110.png,"in this example, the image depicts the land surface of a farmland"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20211115.png,the satellite image shows a city in the distance and a rural landscape
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20211118.png,ctx jpg
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20211125.png,the satellite image shows a field with grass and trees and a farm in the distance
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20220211.png,"savannah was built on land in the middle of a desert, and is surrounded by a sea of sand, but the sand of the desert is a huge threat to the valley's agriculture"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20220213.png,a satellite image of a satellite image of a satellite image of a city surrounded by green farmland
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20220221.png,satellite image of city shows city with many houses and a large city
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20220310.png,a satellite image of an urban area reveals a large city in the middle of a green field with some trees
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20220318.png,a satellite image shows the countryside of the state s az - courtesy of nasa satellite
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20220320.png,a satellite image of an area in the southeast of texas
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20220323.png,a satellite image of a city is a great example of satellite imagery that is used in satellite images
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20220330.png,a satellite image of a city
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20220407.png,a satellite image of a southeastern desert in egypt
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20220424.png,a satellite image of a small city showing its major water reservoirs and a swath of rural countryside
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20220427.png,a satellite image of a farm and rural area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20220502.png,images satellite images of the saskatchewan saskatchewan
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20220514.png,a satellite image of the earth
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20220519.png,a satellite image shows a city in the middle of the image
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20220601.png,"as an image of the city, the earth rotates to show the city in a green field and the city in a blue sky"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20220606.png,satellite image of a city showing a city and a city
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20221016.png,a satellite image shows a city with several buildings in a san francisco bay area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20221024.png,"satellite image of a city, with a large city in the background"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20221026.png,a satellite image of a city in southern india shows a town of nasa
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20221029.png,a satellite image of a city and surrounding areas
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20221123.png,a view of the small city of sandstone near otetada in the neolithic period from the southwest
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20221130.png,a satellite image of an area of the earth
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20221218.png,a satellite image revealing a village in a large valley
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20230122.png,satellite image of a city and green fields
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20230226.png,satellite view of a city and surrounding farm fields in a satellite image
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20230305.png,it shows a city and a rural area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20230310.png,a city-shaped building in the distance is seen in the foreground
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20230412.png,a satellite image of the city of santa fe from orbit over the southwestern hemisphere
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20230417.png,"satellite image of a farm in cairo, egypt, viewed from the equator"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20231004.png,a satellite image of a town in the state of new zealand
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20231006.png,a sassoc map showing a town and the outskirts of a city on a satellite
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20231011.png,a satellite image of a city in the middle of the countryside
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20231019.png,a satellite image shows the land and water areas of a small village and town
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20231024.png,a satellite view of the rural region of saskatchewan
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20231026.png,a satellite image shows a field of crops and small villages
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20231029.png,"savannah county, kansas county, utah county, utah state, utah state, utah state, utah state, utah state, utah state, utah state, utah state, utah state, utah state, utah state, u"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20231031.png,a satellite image of a city and a rural area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20231105.png,in this image the trees can be seen in the field at left and the trees are visible in the foreground
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20231120.png,the image shows the area where the roods are at the moment
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20231205.png,satellite image of a village in the karaipur district of karnataka
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20231208.png,image of a village in india
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20231210.png,satellite image of san niguel and santos c neal
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_087_20231220.png,a satellite image of a small village in india
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20210228.png,a satellite image of a farmland surrounded by trees and green grass
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20210407.png,a satellite image shows a field of green grass and a crop field in a red field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20210419.png,the image shows a small area of desert and a small area of grassland
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20210517.png,"a satellite image of a rural area shows a field of corn, wheat, and soybeans"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20210527.png,an aerial image of the south prairie - satellite image of the prairie prairie by dr mike d
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20210623.png,satellite image of a large farm area in southeastern texas
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20210701.png,a view of a farm and the city seen from above as seen from earth space
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20211006.png,a satellite image of a farm in a county
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20211011.png,a satellite image of a farmland field in the middle of a green field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20211014.png,image size and captions
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20211016.png,a satellite image of a farm field and surrounding area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20211029.png,a satellite image of a farm showing a fenced area of land
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20211031.png,satellite image of a farm and surrounding countryside
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20211105.png,a satellite image of a farm field in a county in san francisco
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20211108.png,"satellite image of a farm field in saline county, utah"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20211110.png,satellite image of a farm field with a large row of crops
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20211115.png,a satellite image demonstrates the earth's surface a satellite image shows the earth's surface
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20211118.png,satellite image of santos ranch farm
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20211125.png,"sam, a large city in arizona, has a dense agricultural area with many fields and farms"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20220211.png,a satellite image reveals green fields and a rural area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20220213.png,"savannah, nebraska satellite image of the savannah region, savannah, nebraska pt jpg"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20220221.png,a satellite image of a field in a city
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20220310.png,a satellite image of an agricultural field showing two wheat crops
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20220318.png,"a satellite image shows a field of wheat, grain, wheat and corn crops, as well as a grassland area surrounded by hills and woods"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20220320.png,satellite image of rural countryside
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20220323.png,a satellite image shows a farm with green trees and a blue sky above it
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20220330.png,satellite image of a rural area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20220407.png,"a satellite image of a small farm in a southeastern county, california"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20220424.png,"a satellite image of an area showing a field, farm, and a few other small areas"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20220427.png,a satellite image of a sand dunes in a desert area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20220502.png,"satellite image of land of corn, wheat, and corn crop in a southern california area with crops and cattle"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20220514.png,"a satellite image of a town, showing a farm field and a building with a grassy hillside"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20220519.png,"satellite image of a farmland, a city, and a mountain valley"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20220601.png,satellite images can be used to pinpoint a location in the earth and the satellite image can be used to pinpoint a location in the sky
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20220606.png,a satellite image of a farm field with crops and a plowed field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20221016.png,"i see the land, and i see the farm"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20221024.png,this satellite image shows the landscapes of several farm fields in the wheat and barley fields
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20221026.png,satellite image of the sandhills area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20221029.png,satellite image of the west bank area of montana
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20221123.png,"savannah, nebraska, and surrounding areas"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20221130.png,satellite image of a farmland surrounded by large green fields
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20221218.png,satellite image of a green field showing farm fields in california
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20230122.png,a satellite image of a farm
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20230226.png,"image of st savannah in the st savannah state park, ne"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20230305.png,a satellite image of the earth's surface is projected onto a satellite to create a 3d map
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20230310.png,"a satellite image of a farmland in the southwestern part of a state of ute county , south of sacramento county , california"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20230412.png,a satellite image shows an area with red and white farm fields
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20230417.png,a sassa view of the el paso - sassa - el paso - sassa
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20231004.png,image shows the valleys of the central valley of california
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20231006.png,a satellite image of farmland
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20231011.png,a satellite view of a field with trees in the background
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20231019.png,"as the satellite image lays on the ground, the arrow shows the direction of the sun"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20231024.png,a satellite view of a farm field and surrounding farmland
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20231026.png,satellite image of farm field with a building
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20231029.png,satellite satellite image of a farm area in the valley of the sahara
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20231031.png,a satellite image of the farmland area and a small portion of the olympics
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20231105.png,satellite image showing the nedda land survey
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20231120.png,a green field with a red barn and trees in the background
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20231205.png,a satellite image revealing a green field and a field with a farm and trees in the background
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20231208.png,satellite image of a farm field in california
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20231210.png,"a green field in the middle of a green field, a satellite image of land , a satellite image"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_088_20231220.png,a satellite image of a farm field in a wheat field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20210228.png,an aerial view of a farm and a tarmac road
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20210407.png,a satellite image of a farmland with a few buildings
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20210419.png,satellite satellite satellite satellite image of land and sea in the united states of america
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20210517.png,"satellite image of a country view of the northern hemisphere , showing a country with a small city"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20210527.png,"a satellite image shows a road in the country in this image, which also shows a country road on a satellite image"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20210623.png,a satellite image of an area with a san francisco bay bridge
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20210701.png,satellite image of the city of guatemala california
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20211006.png,a satellite image of an area of agricultural land
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20211011.png,satellite image shows the view of a countryside farm in the middle of the image
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20211014.png,satellite image of a field showing a farmland in the region of tasmania
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20211016.png,satellite image of a field surrounded by farmland
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20211029.png,"a satellite image of a road intersection, surrounded by fields of wheat and crops"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20211031.png,a satellite image of a farm and rural area with a road to the side of the field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20211105.png,"a satellite image of a farm area, with trees and a road"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20211108.png,a satellite image of a field with fields and trees
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20211110.png,satellite image of a village in idaho
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20211115.png,a satellite image of a country side
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20211118.png,a satellite image of an area with a river and a road in the distance
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20211125.png,the image shows a flat horizon and two peaks of a hillside
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20220211.png,"a satellite image of a rice farm in guangdong province, china"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20220213.png,"a satellite image of a farm and field in the foreground, with a highway visible in the distance"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20220221.png,a satellite image shows a rural landscape with a series of green fields and a few hills
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20220310.png,"the image shows an image of a field with a few trees and grass in the distance, and a distant farm field with a few trees and grass in the background"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20220318.png,"a satellite image of a farm, pastures, and fields"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20220320.png,satellite image of a highway in arid arid desert a
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20220323.png,satellite image of a city and a farm
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20220330.png,"it is an image taken from space, which shows the earth as a planet, a star and various other stars, planets and planets viewed from orbit"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20220407.png,a satellite image of the earth's surface and satellite image of earth's surface from a spacecraft
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20220424.png,satellite image of a wheat field in the middle of a field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20220427.png,a satellite image of a farm field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20220502.png,a satellite image of a farm in a rural area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20220514.png,it shows a wide-area image of the earth
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20220519.png,a satellite image of a farm with grass and crops
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20220601.png,"satellite images of the outskirts of sands, a major city in iran"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20220606.png,saturate the area with color or shade to create the image
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20221016.png,satellite image of a field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20221024.png,satellite image of a farm area containing crops and fields
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20221026.png,a satellite image of a small village in a rural area surrounded by farmland and woodland
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20221029.png,a satellite image shows a farmland near a city
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20221123.png,as satellite image of a country
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20221130.png,a satellite image of a field with a road and a river
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20221218.png,a satellite image of a farm with fields and a small house
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20230122.png,the image shows an aerial view of the city of tamilnadu
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20230226.png,an aerial image from space showing the fields near a city
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20230305.png,"the satellite image shows an aerial view of a large farmland with green fields, a few small hills and a few trees"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20230310.png,a satellite image of an area of land with a large area of fields
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20230412.png,a satellite image of a country
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20230417.png,satellite image of a satellite image of a satellite image of a satellite image
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20231004.png,"in this image, a large, yellow tractor sits on a green field with a small green crop"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20231006.png,a satellite image shows a road and a field of crops
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20231011.png,satellite image of a field in a rural area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20231019.png,satellite image of rural area with fields and roads
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20231024.png,aerial satellite image of a farm field and a highway
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20231026.png,satellite image of agricultural field in uttarakhand
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20231029.png,it shows the countryside of a country with trees and fields
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_089_20231031.png,a satellite image of a village in central otto
